time,temperature_2m_max,temperature_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,wind_speed_10m_max,dew_point_2m_max,dew_point_2m_min,city,latitude,longitude
2022-01-01,17.0,11.2,99,77,25.8,14.3,10.9,Riyadh,24.7136,46.6753
2022-01-02,21.5,10.9,99,65,29.0,15.5,7.5,Riyadh,24.7136,46.6753
2022-01-03,16.2,8.2,88,67,17.4,10.9,6.2,Riyadh,24.7136,46.6753
2022-01-04,16.1,6.2,90,54,24.1,7.8,4.7,Riyadh,24.7136,46.6753
2022-01-05,16.4,5.6,88,40,22.8,6.7,2.0,Riyadh,24.7136,46.6753
2022-01-06,16.2,5.1,90,47,21.5,7.4,3.2,Riyadh,24.7136,46.6753
2022-01-07,16.7,4.2,89,30,12.0,5.3,-1.1,Riyadh,24.7136,46.6753
2022-01-08,19.1,6.5,81,31,9.6,5.0,0.7,Riyadh,24.7136,46.6753
2022-01-09,21.7,7.9,63,21,12.0,1.4,-2.0,Riyadh,24.7136,46.6753
2022-01-10,24.1,9.2,40,17,23.0,-1.6,-4.3,Riyadh,24.7136,46.6753
2022-01-11,24.2,13.4,43,18,13.6,1.4,-3.3,Riyadh,24.7136,46.6753
2022-01-12,26.3,12.2,51,20,11.8,4.1,1.5,Riyadh,24.7136,46.6753
2022-01-13,27.7,12.9,49,20,25.8,3.0,0.6,Riyadh,24.7136,46.6753
2022-01-14,27.7,15.6,81,18,28.9,13.0,0.2,Riyadh,24.7136,46.6753
2022-01-15,21.3,12.1,84,64,22.4,15.2,9.4,Riyadh,24.7136,46.6753
2022-01-16,19.5,7.8,88,36,19.4,10.2,3.6,Riyadh,24.7136,46.6753
2022-01-17,20.6,8.5,88,46,9.4,12.6,5.4,Riyadh,24.7136,46.6753
2022-01-18,13.2,7.1,92,59,26.2,11.7,0.9,Riyadh,24.7136,46.6753
2022-01-19,14.8,6.7,78,50,12.7,7.1,1.5,Riyadh,24.7136,46.6753
2022-01-20,18.5,6.0,75,39,23.1,7.7,0.0,Riyadh,24.7136,46.6753
2022-01-21,10.8,0.7,65,26,26.3,-1.0,-8.3,Riyadh,24.7136,46.6753
2022-01-22,13.1,0.5,60,26,13.7,0.3,-7.4,Riyadh,24.7136,46.6753
2022-01-23,19.3,3.6,47,18,15.6,-4.6,-10.1,Riyadh,24.7136,46.6753
2022-01-24,23.8,6.9,74,18,21.6,6.3,-5.1,Riyadh,24.7136,46.6753
2022-01-25,23.2,8.7,74,22,15.9,6.0,-0.1,Riyadh,24.7136,46.6753
2022-01-26,27.5,11.1,49,18,28.5,1.9,-2.9,Riyadh,24.7136,46.6753
